 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C23.064B	14R0328A	14R0328A	7	2	B2	23	REFT2B	121	2																																																																																																																																																										
C21.002B	14R0328A	14R0328A	8	2	B2	21	REFT2B	122	2																																																																																																																																																										
C06.014B	14R0328A	14R0328A	5	2	B2	6	REFT2B	123	2																																																																																																																																																										
C04.037B	14R0328A	14R0328A	6	2	B2	4	REFT2B	124	2																																																																																																																																																										
C11.012B	14R0328A	14R0328A	7	2	B2	11	REFT2B	125	2																																																																																																																																																										
C23.017B	14R0328A	14R0328A	8	2	B2	23	REFT2B	126	2																																																																																																																																																										
C07.029B	14R0328A	14R0328A	5	2	B2	7	REFT2B	127	2																																																																																																																																																										
C23.014B	14R0328A	14R0328A	6	2	B2	23	REFT2B	128	2																																																																																																																																																										
C13.014B	14R0328A	14R0328A	7	2	B2	13	REFT2B	129	2																																																																																																																																																										
C05.038B	14R0328A	14R0328A	8	2	B2	5	REFT2B	130	2																																																																																																																																																										
C10.033B	14R0328A	14R0328A	5	2	B2	10	REFT2B	131	2																																																																																																																																																										
C01.038B	14R0328A	14R0328A	6	2	B2	1	REFT2B	132	2																																																																																																																																																										
C19.001B	14R0328A	14R0328A	7	2	B2	19	REFT2B	133	2																																																																																																																																																										
C08.053B	14R0328A	14R0328A	8	2	B2	8	REFT2B	134	2																																																																																																																																																										
C20.014B	14R0328A	14R0328A	5	2	B2	20	REFT2B	135	2																																																																																																																																																										
C01.094B	14R0328A	14R0328A	6	2	B2	1	REFT2B	136	2																																																																																																																																																										
C23.016B	14R0328A	14R0328A	7	2	B2	23	REFT2B	137	2																																																																																																																																																										
C13.015B	14R0328A	14R0328A	8	2	B2	13	REFT2B	138	2																																																																																																																																																										
C23.040B	14R0328A	14R0328A	5	2	B2	23	REFT2B	139	2																																																																																																																																																										
C11.011B	14R0328A	14R0328A	6	2	B2	11	REFT2B	140	2																																																																																																																																																										
C01.096B	14R0328A	14R0328A	7	2	B2	1	REFT2B	141	2																																																																																																																																																										
C02.008B	14R0328A	14R0328A	8	2	B2	2	REFT2B	142	2																																																																																																																																																										
